T       E         M         C_V         X         Accepted configs/Mc cycles
2    -1.74558    0.911348    0.72125    0.377209    0.0807822
2.02105    -1.72973    0.903785    0.767882    0.473937    0.0845976
2.04211    -1.71342    0.895932    0.812109    0.562884    0.0902788
2.06316    -1.69542    0.886547    0.867733    0.695206    0.096591
2.08421    -1.67702    0.877069    0.913079    0.796371    0.103102
2.10526    -1.65687    0.865543    0.979638    1.00699    0.112573
2.12632    -1.63568    0.852981    1.04443    1.22621    0.11786
2.14737    -1.61318    0.83858    1.11241    1.56878    0.125989
2.16842    -1.58911    0.822105    1.19011    1.98049    0.134746
2.18947    -1.56251    0.801575    1.28606    2.63016    0.144502
2.21053    -1.53408    0.777738    1.39653    3.44055    0.158087
2.23158    -1.50477    0.752167    1.4756    4.283    0.165905
2.25263    -1.4741    0.72416    1.55812    5.13618    0.177421
2.27368    -1.4398    0.689436    1.60953    6.11248    0.190352
2.29474    -1.40394    0.648707    1.6728    7.4113    0.20397
2.31579    -1.36807    0.608388    1.67352    8.17088    0.222087
2.33684    -1.33397    0.569857    1.63307    8.63396    0.230964
2.35789    -1.30047    0.530219    1.57736    8.95599    0.244071
2.37895    -1.26723    0.489941    1.49836    8.97214    0.257197
2.4    -1.2368    0.45297    1.4144    8.89986    0.2694
