T         E         M       C_v       X           Accepted configs/Mc cycles
2    -1.74589    0.911477    0.720248    0.379934    0.0806796
2.02105    -1.73015    0.904167    0.764955    0.449666    0.0844538
2.04211    -1.71366    0.89626    0.807777    0.526661    0.090196
2.06316    -1.69605    0.887312    0.856476    0.657856    0.0963608
2.08421    -1.67731    0.877373    0.911201    0.778943    0.10298
2.10526    -1.65708    0.865665    0.977624    1.0212    0.112369
2.12632    -1.63618    0.853466    1.03862    1.24588    0.117669
2.14737    -1.61322    0.838277    1.13012    1.73717    0.125969
2.16842    -1.58753    0.817741    1.25741    3.37069    0.1353
2.18947    -1.56149    0.798559    1.33806    3.63134    0.144859
2.21053    -1.53137    0.769851    1.47727    5.99603    0.159091
2.23158    -1.49833    0.732969    1.65656    9.86168    0.168199
2.25263    -1.46169    0.685243    1.82768    15.2319    0.181871
2.27368    -1.42067    0.621318    1.98937    22.0857    0.197277
2.29474    -1.38054    0.553586    2.00472    27.4438    0.212492
2.31579    -1.33729    0.472692    1.93177    30.694    0.233589
2.33684    -1.29769    0.39504    1.69712    29.7739    0.244365
2.35789    -1.26512    0.342672    1.5238    26.2206    0.257229
2.37895    -1.23484    0.294135    1.35193    22.419    0.269325
2.4    -1.20855    0.259833    1.21436    18.9975    0.280023
