T           E           M           C_V         X       Accepted configs/Mc cycles
2    -1.74559    0.911328    0.724874    0.384723    0.0806831
2.02105    -1.72991    0.904066    0.765202    0.450646    0.0845156
2.04211    -1.71333    0.896039    0.811235    0.54069    0.0902839
2.06316    -1.69565    0.887007    0.861502    0.659674    0.096482
2.08421    -1.6769    0.876989    0.91972    0.817546    0.103107
2.10526    -1.65699    0.865752    0.97867    1.01293    0.112384
2.12632    -1.63574    0.852952    1.04058    1.27164    0.117817
2.14737    -1.61273    0.837827    1.12444    1.71432    0.126131
2.16842    -1.58791    0.819652    1.21965    2.5831    0.135165
2.18947    -1.56114    0.798125    1.33332    3.62614    0.144975
2.21053    -1.53179    0.771489    1.47014    5.57791    0.159042
2.23158    -1.49765    0.729969    1.71885    13.6768    0.168452
2.25263    -1.45916    0.67145    1.99452    27.8014    0.182814
2.27368    -1.4111    0.556252    2.34872    76.8251    0.200786
2.29474    -1.36147    0.406262    2.23128    108.436    0.219509
2.31579    -1.31874    0.286215    1.78509    87.5852    0.24082
2.33684    -1.28539    0.224617    1.51567    60.594    0.248929
2.35789    -1.25585    0.181052    1.33158    42.1503    0.260672
2.37895    -1.22859    0.146095    1.20755    29.9752    0.271658
2.4    -1.20414    0.1263    1.12507    22.7615    0.281675
